ima_formula,mineral_name_plain,cation_charge,so4_charge,non_s_anion_charge,cat_mols,na_mols,nh4_mols,fe_mols,co_mols,al_mols,k_mols,mg_mols,mn_mols,ni_mols,ca_mols,zn_mols,y_mols,cu_mols,u_mols,s_mols,non_s_anion_mols,h_mols,h2o_mols,oh_mols,_ima_validity,chemistry,chemIG,Z_chemical_formula_units,elements,number_of_elements,U_redox,no_localities,no_localities_corrected_below_10,_mineral_id,paragenetic_mode,metamorphic,primary,secondary,abiotic,biotic,v_anhydrous,IG_anhydrous,IG_total_anhydrous,IG_n_anhydrous,v_hydrous,IG_hydrous,Igmax_hydrous,IG_total_hydrous,IG_n_hydrous,_H_atoms,_H_dummy,_A_min_cif,_ICSD_code,discovery,discovery_method,max_size_cm,color,luster,hardness,avg_hardness,topology,anion_topology,structure,_pdf_of_journal,_Xstal_data_from_mindat,structure_type,a,b,c,alpha,beta,gamma,volume,crystal_system,point_group,space_group,multiplicity,lattice,_delta_Gf,_delta_Hf,_delta_Sf,max_age_Ma,_mindat_locality_ID,unique_ages,unique_ages_with_parents,locality_max_age,location,_ref,_excel_id,_rruff_locality_link,_mindat_locality_link
(NH4)2(UO2)(SO4)2·2H2O,Beshtauite,2,-4,0,3,,2,,,,,,,,,,,,1,2,0,4,2,0,A,(N^3-^H_4_)_2_(U^6+^O_2_)(S^6+^O_4_)_2_·2H_2_O,1.88,4,N S O H,5,6,2,2,6107,72,0,0,1,0,1,68,4.087,277.947,0.671,116,4.858,6.858,563.526,0.708,1,,1,,2012,,0.05,green,2,2,2,sheet,,,Y,N,,7.736,7.3712,20.856,90,102.123,90,1162.76,monoclinic,2/m,P21/c,,P,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Beshtauite,https://www.mindat.org/min-43574.html
(NH4)2Mn[(UO2)4O4(SO4)2](H2O)4,Redcanyonite,4,-4,-8,3,,2,,,,,,1,,,,,,4,2,4,8,4,0,A,(N^3-^H_4_)_2_Mn^2+^[(U^6+^O_2_)_4_O_4_(S^6+^O_4_)_2_](H_2_O)_4_,1.82,1,N H Mn U O S,6,6,1,1,6608,72,0,0,1,0,1,33,3.347,110.465,0.664,,,#NUM!,,#NUM!,,,1,,2016,,,yellowish-orange,,,,sheet,,,In press,Y,Zippeite,8.657,14.155,8.843,90,104.12,90,1050.88,monoclinic,2/m,B2/m,,B,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Redcanyonite,https://www.mindat.org/min-50786.html
(NH4)5(UO2)4(SO4)4(VO5)·4H2O,Ammoniomathesiusite,5,-8,-5,5,,5,,,,,,,,,,,,4,4,1,8,4,0,A,(NH_4_)_5_(UO_2_)_4_(SO_4_)_4_(VO_5_)·4H_2_O,,,N U S V O H,6,6,,,6708,,,,,,,,,,,150,4.309,7.229,646.323,0.5961,,,,,2017,,0.03,greenish-yellow,,2.5,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fe2+(UO2)2(SO4)2(OH)2·7H2O,Deliensite,2,-4,-2,1,,,1,,,,,,,,,,,2,2,2,16,7,2,A,Fe^2+^(U^6+^O_2_)_2_(S^6+^O_4_)_2_(OH)_2_·7H_2_O,1.58,4,Fe U O S H,5,6,13,13,1648,72,0,0,1,0,1,104,4.7,488.846,0.702,168,5.392,7.392,905.909,0.729,0,,1,,1996,,0.4,"pale yellow, gray",2,2,2,sheet,Deliensite,,Y,N,,15.8514,16.2478,6.8943,90,90,90,1775.63,orthorhombic,mm2,Pnn2,,P,,,,330.6,220915,7,19,"Nové M?sto, Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic",N/A,L151_105,Kristen000027,http://rruff.info/mineral_list/locality.php?mineral_name=Deliensite,https://www.mindat.org/min-6899.html
Fe(UO2)(SO4)2?11H2O,Leydetite,2,-4,0,1,,,1,,,,,,,,,,,1,2,0,22,11,0,A,Fe^2+^(U^6+^O_2_)(S^6+^O_4_)_2_·11H_2_O,1.46,4,Fe U O S H,5,6,2,2,6120,72,0,0,1,0,1,50,3.764,188.193,0.667,94,4.618,6.555,434.131,0.705,1,,0,,2012,,0.002,yellow,2,2,2,sheet,,,Y,N,Leydetite,11.3203,7.7293,21.8145,90,102.402,90,1864.18,monoclinic,2/m,C2/c,,C,,,,179,1714,1,5,"Mas d'Alary (Mas d'Alary MCO), Lodève, Hérault, Occitanie, France","43.70917,3.33667",MD19_44,Mo-00012,http://rruff.info/mineral_list/locality.php?mineral_name=Leydetite,https://www.mindat.org/min-43586.html
Fe(UO2)(SO4)2(H2O)5,Rietveldite,2,-4,0,1,,,1,,,,,,,,,,,1,2,0,10,5,0,A,Fe^2+^(U^6+^O_2_)(S^6+^O_4_)_2_(H_2_O)_5_,1.71,4,Fe U O S H,5,6,3,3,6607,"72,76",0,0,1,0,1,76,4.511,342.842,0.722,116,5.065,6.858,587.526,0.739,,,1,,2016,,0.0005,brownish-yellow,2,2,2,chain,,,Y,N,Svornostite,12.9577,8.3183,11.2971,90,90,90,1217.7,orthorhombic,mm2,Pmn21,,P,,,,408,22370,2,9,"Willi Agatz Mine, Dresden, Saxony, Germany","51° North , 13° East (est.)",AJS258_1,Cr-00046,http://rruff.info/mineral_list/locality.php?mineral_name=Rietveldite,https://www.mindat.org/min-50771.html
Fe3+(UO2)4(PO4)2(SO4)2(OH)·22H2O,Xiangjiangite,3,-4,-7,1,,,1,,,,,,,,,,,4,2,3,45,22,1,A,Fe^3+^(U^6+^O_2_)_4_(P^5+^O_4_)_2_(S^6+^O_4_)_2_(OH)·22H_2_O,1.51,,Fe U P S O H,6,6,1,1,4739,72,0,0,1,0,1,,,,,,,#NUM!,,#NUM!,,,0,,1982,,,yellow,7,1.0-2,1.5,,,,N,Lauf book,,7.17,7.17,22.22,90,90,90,1142.31,tetragonal,,,,,,,,,,0,0,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Xiangjiangite,https://www.mindat.org/min-4334.html
Fe3+2Al2(UO2)2(PO4)4(SO4)(OH)2·20H2O,Coconinoite,12,-2,-12,4,,,2,,2,,,,,,,,,2,1,6,42,20,2,A,Fe^3+^_2_Al^3+^_2_(U^6+^O_2_)_2_(P^5+6O_4_)_4_(S^6+^O_4_)(OH)_2_·20H_2_O,1.63,,Fe Al U P S O H,6,6,9,10,1528,72,0,0,1,0,1,,,,,,,#NUM!,,#NUM!,,,0,,1965,,0.002,creamy yellow,,,,,,,Y,N,,12.45,12.96,17.22,90,105.7,90,2674.82,monoclinic,"2/m,m","C2/c, Cc",,C,,,,2800,4227,3,10,"Wyoming, USA","43.084444444444,-107.19",USGSOFR02_189,ree-00758,http://rruff.info/mineral_list/locality.php?mineral_name=Coconinoite,https://www.mindat.org/min-1102.html
Mg(UO2)(SO4)2·11H2O,Magnesioleydetite,2,-4,0,1,,,,,,,1,,,,,,,1,2,0,22,11,0,A,Mg^2+^(U^6+^O_2_)(S^6+^O_4_)_2_·11H_2_O,1.46,,Mg U S O H,5,6,0,1,6689,72,0,0,1,0,1,,,,,94,4.618,6.555,434.131,0.705,,,,,2017,,,,,,,,,,In press,,,11.3513,7.731,21.7957,90,102.387,90,1868.2,monoclinic,2/m,C2/c,,C,,,,,,,,,,,,http://rruff.info/mineral_list/locality.php?mineral_name=Magnesioleydetite,https://www.mindat.org/min-52172.html
Mg(UO2)2(SO4)O2·3.5H2O,Magnesiozippeite,2,-2,-4,1,,,,,,,1,,,,,,,2,1,2,7,3.5,0,Rd,Mg^2+^(U^6+^O_2_)_2_(S^6+^O_4_)O_2_·3.5H_2_O,1.66,4,Mg U O S H,5,6,13,13,2963,"72,76",0,0,1,0,1,70,4.444,311.05,0.725,98,4.839,6.615,474.242,0.732,0,,1,,1971,,0.0002,orange,2,2,2,sheet,Zippeite,,Y,N,Zippeite,8.7005,14.2541,8.8433,90,104.408,90,1062.24,monoclinic,2/m,C2/m,,C,-13506,,,0,4143,13,62,"Lucky Strike No. 2 Mine (Lucky Strike #2), San Rafael District (San Rafael Swell), Emery Co., Utah, USA","38.75555,-110.94778",AM102_595,Anthropocene-031,http://rruff.info/mineral_list/locality.php?mineral_name=Magnesiozippeite,https://www.mindat.org/min-2474.html
Mg3O6(UO2)8(SO4)4(OH)2·28H2O,Marecottite,6,-8,-14,3,,,,,,,3,,,,,,,8,4,8,58,28,2,A,Mg^2+^_3_O_6_(U^6+^O_2_)_8_(S^6+^O_4_)_4_(OH)_2_·28H_2_O,1.53,1,Mg O U S H,5,6,10,10,3024,72,0,0,1,0,1,83,5.411,449.128,0.849,141,6.161,7.14,868.677,0.863,0,,1,,2001,,0.0003,yellow-orange,2,3,3,sheet,,,Y,N,,10.8084,11.2519,13.8465,66.222,72.424,70.014,1421.57,triclinic,-1,P-1,,P,,,,0,23617,10,40,"La Creusa U prospect (La Creusaz U prospect), Les Marécottes, Le Trient Valley, Wallis (Valais), Switzerland","46.119722222222,7.0013888888889",AM102_595,Anthropocene-033,http://rruff.info/mineral_list/locality.php?mineral_name=Marecottite,https://www.mindat.org/min-27152.html
K(UO2)(SO4)(OH)(H2O),Adolfpateraite,1,-2,-1,1,,,,,,1,,,,,,,,1,1,1,3,1,1,A,K(U^6+^O_2_)(S^6+^O_4_)(OH)(H_2_O),1.75,4,K U S O H,5,6,1,1,5970,72,0,0,1,0,1,44,3.459,152.215,0.634,56,3.807,5.807,213.212,0.6555,1,,1,,2011,,0.3,greenish-yellow,2,2,2,chain,Adolfpateraite,,Y,N,Adranosite,8.0462,7.9256,11.3206,90,107.726,90,687.65,monoclinic,2/m,P21/c,,P,,,,0,188817,1,8,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911666666667",AM102_595,Anthropocene-008,http://rruff.info/mineral_list/locality.php?mineral_name=Adolfpateraite,https://www.mindat.org/min-42458.html
K0.8Mn0.6[(UO2)2O2(SO4)]·3.5H2O,Plavnoite,2,-2,-4,1.4,,,,,,0.8,,0.6,,,,,,2,1,2,7,3.5,0,A,K_0.8_Mn^2+^_0.6_[(U^6+^O_2_)_2_O_2_(S^6+^O_4_)]·3.5H_2_O,1.76,8,K Mn U O S H,6,6,1,1,6461,72,0,0,1,0,1,,,,,104,4.777,6.7,496.846,0.713,,,0,,2015,,0.0005,reddish-orange,2,2,2,sheet,,,Y,N,Zippeite,8.6254,14.258,17.703,90,104.052,90,2122,monoclinic,2/m,C2/c,,C,,,,330.6,268271,1,6,"Plavno Mine, Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50° North , 12° East (est.)",L151_105,Kristen000027,http://rruff.info/mineral_list/locality.php?mineral_name=Plavnoite,https://www.mindat.org/min-46833.html
K2(UO2)(SO4)2?2H2O,Geschieberite,2,-4,0,2,,,,,,2,,,,,,,,1,2,0,4,2,0,A,K_2_(U^6+^O_2_)(S^6+6O_4_)_2_·2H_2_O,1.77,4,K U S O H,5,6,1,1,6299,72,0,0,1,0,1,68,4.087,277.947,0.671,84,4.392,6.392,368.955,0.687,0,,1,,2014,,0.0002,green,2,2,2,sheet,,,Y,N,,13.7778,7.2709,11.5488,90,90,90,1156.92,orthorhombic,mm2,Pna21,,P,,,,0,19729,1,7,"Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911388888889",AM102_595,Anthropocene-022,http://rruff.info/mineral_list/locality.php?mineral_name=Geschieberite,https://www.mindat.org/min-46101.html
K2Mg[(UO2)(SO4)2]2?8H2O,Svornostite,4,-8,0,3,,,,,,2,1,,,,,,,2,4,0,16,8,0,A,K_2_Mg^2+^(U^6+^O_2_)_2_(S^6+^O_4_)_4_·8H_2_O,1.75,2,K Mg U O S H,6,6,1,1,6376,72,0,0,1,0,1,74,4.453,329.5,0.717,106,4.898,6.728,519.16,0.728,,,1,,2014,,0.0002,yellow,2,2,2,chain,Svornostite,,Y,N,Svornostite,12.785,8.2673,11.2163,90,90,90,1185.68,orthorhombic,mm2,Pmn21,,P,,,,0,188817,1,8,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.37250,12.91167",AM102_595,Anthropocene-050,http://rruff.info/mineral_list/locality.php?mineral_name=Svornostite,https://www.mindat.org/min-46524.html
K3(UO2)4(SO4)2O3(OH)·3H2O,Zippeite,3,-4,-7,3,,,,,,3,,,,,,,,4,2,4,7,3,1,Rd,K_3_(U^6+^O_2_)_4_(S^6+^O_4_)_2_O_3_(OH)·3H_2_O,1.74,2,K U S O H,5,6,167,167,4824,72,0,0,1,0,1,34,3.382,114.974,0.665,44,3.732,5.459,164.215,0.684,0,1,1,81585,1971,,0.0005,yellow,7,2,2,sheet,Zippeite,,Y,N,Zippeite,8.7524,13.9197,17.6972,90,104.178,90,2090.39,monoclinic,2/m,C2/m,,C,-7783.44,-8655.97,-2.9265,2200,156132,50,165,"Bizigou Cu Deposit (Bizhigou Cu Deposit), Zhongtiaoshan Ore Field, Yuanqu Co., Yuncheng Prefecture, Shanxi Province, China","35.3,111.58333333333",USGSOFR2008_1155,PorphCu-00189,http://rruff.info/mineral_list/locality.php?mineral_name=Zippeite,https://www.mindat.org/min-4420.html
K5(UO2)4(SO4)4(VO5)(H2O)4,Mathesiusite,5,-8,-5,5,,,,,,5,,,,,,,,4,4,1,8,4,0,A,K_5_(U^6+^O_2_)_4_(S^6+^O_4_)_4_(V^5+^O_5_)(H_2_O)_4_,1.82,2,K U O S V H,6,6,1,1,6210,"72,89",0,0,1,0,1,100,3.684,368.386,0.554,110,3.89,6.781,427.95,0.574,0,,1,,2013,,0.0002,yellow-green,2,2,2,sheet,Mathesiusite,,Y,N,,14.9704,14.9704,6.817,90,90,90,1527.78,tetragonal,4/m,P4/n,,P,,,,0,188817,1,8,"Geschieber Vein, Svornost Mine (Einigkeit Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3725,12.911666666667",AM102_595,Anthropocene-035,http://rruff.info/mineral_list/locality.php?mineral_name=Mathesiusite,https://www.mindat.org/min-43918.html
Y(UO2)3(SO4)2O(OH)3(H2O)7·7H2O,Alwilkinsite-(Y),3,-4,-5,1,,,,,,,,,,,,1,,3,2,4,31,14,3,A,Y^3+^(U^6+^O_2_)_3_(S^6+^O_4_)_2_O_(OH)_3_(H_2_O_)_7_·7H_2_O,1.47,4,Y U S O H,5,6,1,2,6495,"72,76",0,0,1,0,1,152,5.248,797.685,0.724,276,6.109,8.109,1685.953,0.7534,,,1,,2015,,0.05,yellow-green,2,2-2.5,2.25,chain,,,Y,N,,11.6194,12.425,19.4495,90,90,90,2807.9,orthorhombic,222,P212121,,P,,,,0,38665,1,6,"Blue Lizard Mine, Red Canyon, White Canyon District, San Juan Co., Utah, USA","37.557222222222,-110.29694444444",AM102_595,Anthropocene-010,http://rruff.info/mineral_list/locality.php?mineral_name=Alwilkinsite-(Y),https://www.mindat.org/min-47025.html
Y2[(UO2)8O6(SO4)4(OH)2]·26H2O,Sejkoraite-(Y),6,-8,-14,2,,,,,,,,,,,,2,,8,4,8,54,26,2,A,Y^3+^_2_[(U^6+^O_2_)_8_O_6_(S^6+^O_4_)_4_(OH)_2_]·26H_2_O,1.52,2,Y U O S H,5,6,2,2,5737,72,0,0,1,0,1,162,6.34,1027.06,0.864,264,7.044,8.044,1859.72,0.876,0,,1,,2009,,0.001,yellow,2,2,2,sheet,Zippeite,,Y,N,Zippeite,14.0743,17.4174,17.7062,75.933,128.001,74.419,2776.985,triclinic,-1,P-1,,P,,,,0,236802,2,9,"?ervená Vein, Rovnost Mine (Werner Mine), Jáchymov (St Joachimsthal), Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.3818638889, 12.8878388889",AM102_595,Anthropocene-048,http://rruff.info/mineral_list/locality.php?mineral_name=Sejkoraite-(Y),https://www.mindat.org/min-39439.html
Co(UO2)2(SO4)O2·3.5H2O,Cobaltzippeite,2,-2,-4,1,,,,1,,,,,,,,,,2,1,2,7,3.5,0,Rn,Co^2+^(U^6+^O_2_)_2_(S^6+^O_4_)O_2_·3.5H_2_O,1.66,4,Co U S O H,5,6,2,2,4979,"72,76",0,0,1,0,1,70,4.444,311.05,0.725,,,#NUM!,,#NUM!,0,1,1,,1971,,,"tan, orange",,2,2,sheet,,,Y,N,Zippeite,8.65,14.1664,17.701,90,104.092,90,2102.7,monoclinic,2/m,C2/m,,C,-12695,-4362.09,27.9487,0,158151,2,11,"Jáchymov District (St Joachimsthal), Kru_né Hory Mts (Erzgebirge), Karlovy Vary Region, Bohemia (Böhmen; Boehmen), Czech Republic","50.399444444444,12.813611111111",AM102_595,Anthropocene-019,http://rruff.info/mineral_list/locality.php?mineral_name=Cobaltzippeite,https://www.mindat.org/min-1098.html
Al(UO2)(SO4)2F·16H2O,Strabmannite,3,-4,-1,1,,,,,1,,,,,,,,,1,2,1,32,16,0,A,Al(UO_2_)(SO_4_)_2_FÂ·16H_2_O,,,Al U S F O H,6,6,,,,,,,,,,,,,,130,5.069,7.022,658.908,0.722,,,,,,,,,,,,,,,,,,6.7964,8.0738,9.2997,113.284,99.065,105.289,431.95,triclinic,-1,p-1,,,,,,,,,,,,,,,
